species,island,clutch_completion,date_egg,flipper_length_mm,culmen_length_mm,body_mass_g,sex,body_mass_kg,culmen_bodymass_index,flipper_group,weight_class,date_time_utc03,year
Adelie Penguin,Torgersen,Yes,2007-11-11,181,39.1,3750,MALE,3.75,10.43,small flips,medium,2007-11-11T12:20:00Z,2007
Adelie Penguin,Torgersen,Yes,2007-11-11,186,39.5,3800,FEMALE,3.8,10.39,small flips,medium,2007-11-11T21:00:00Z,2007
Adelie Penguin,Torgersen,Yes,2007-11-16,195,40.3,3250,FEMALE,3.25,12.4,small flips,small,2007-11-16T19:20:00Z,2007
Adelie Penguin,Torgersen,Yes,2007-11-16,193,36.7,3450,FEMALE,3.45,10.64,small flips,small,2007-11-16T11:20:00Z,2007
Adelie Penguin,Torgersen,Yes,2007-11-16,190,39.3,3650,MALE,3.65,10.77,small flips,medium,2007-11-16T13:50:00Z,2007
Adelie Penguin,Torgersen,No,2007-11-15,181,38.9,3625,FEMALE,3.625,10.73,small flips,medium,2007-11-15T18:50:00Z,2007
Adelie Penguin,Torgersen,No,2007-11-15,195,39.2,4675,MALE,4.675,8.39,small flips,large,2007-11-15T15:40:00Z,2007
Adelie Penguin,Torgersen,Yes,2007-11-09,193,34.1,3475,NA,3.475,9.81,small flips,small,2007-11-09T16:40:00Z,2007
Adelie Penguin,Torgersen,Yes,2007-11-09,190,42,4250,NA,4.25,9.88,small flips,medium,2007-11-09T20:00:00Z,2007
Adelie Penguin,Torgersen,Yes,2007-11-09,186,37.8,3300,NA,3.3,11.45,small flips,small,2007-11-09T16:40:00Z,2007
Adelie Penguin,Torgersen,Yes,2007-11-09,180,37.8,3700,NA,3.7,10.22,small flips,medium,2007-11-09T15:30:00Z,2007
Adelie Penguin,Torgersen,Yes,2007-11-15,182,41.1,3200,FEMALE,3.2,12.84,small flips,small,2007-11-15T14:30:00Z,2007
Adelie Penguin,Torgersen,Yes,2007-11-15,191,38.6,3800,MALE,3.8,10.16,small flips,medium,2007-11-15T16:00:00Z,2007
Adelie Penguin,Torgersen,Yes,2007-11-16,198,34.6,4400,MALE,4.4,7.86,small flips,large,2007-11-16T16:40:00Z,2007
Adelie Penguin,Torgersen,Yes,2007-11-16,185,36.6,3700,FEMALE,3.7,9.89,small flips,medium,2007-11-16T11:50:00Z,2007
Adelie Penguin,Torgersen,Yes,2007-11-12,195,38.7,3450,FEMALE,3.45,11.22,small flips,small,2007-11-12T21:00:00Z,2007
Adelie Penguin,Torgersen,Yes,2007-11-12,197,42.5,4500,MALE,4.5,9.44,small flips,large,2007-11-12T15:00:00Z,2007
Adelie Penguin,Torgersen,Yes,2007-11-16,184,34.4,3325,FEMALE,3.325,10.35,small flips,small,2007-11-16T17:00:00Z,2007
Adelie Penguin,Torgersen,Yes,2007-11-16,194,46,4200,MALE,4.2,10.95,small flips,medium,2007-11-16T13:10:00Z,2007
Adelie Penguin,Biscoe,Yes,2007-11-12,174,37.8,3400,FEMALE,3.4,11.12,small flips,small,2007-11-12T18:00:00Z,2007
Adelie Penguin,Biscoe,Yes,2007-11-12,180,37.7,3600,MALE,3.6,10.47,small flips,medium,2007-11-12T09:30:00Z,2007
Adelie Penguin,Biscoe,Yes,2007-11-12,189,35.9,3800,FEMALE,3.8,9.45,small flips,medium,2007-11-12T17:50:00Z,2007
Adelie Penguin,Biscoe,Yes,2007-11-12,185,38.2,3950,MALE,3.95,9.67,small flips,medium,2007-11-12T17:20:00Z,2007
Adelie Penguin,Biscoe,Yes,2007-11-10,180,38.8,3800,MALE,3.8,10.21,small flips,medium,2007-11-10T19:00:00Z,2007
Adelie Penguin,Biscoe,Yes,2007-11-10,187,35.3,3800,FEMALE,3.8,9.29,small flips,medium,2007-11-10T11:30:00Z,2007
Adelie Penguin,Biscoe,Yes,2007-11-12,183,40.6,3550,MALE,3.55,11.44,small flips,medium,2007-11-12T11:30:00Z,2007
Adelie Penguin,Biscoe,Yes,2007-11-12,187,40.5,3200,FEMALE,3.2,12.66,small flips,small,2007-11-12T14:00:00Z,2007
Adelie Penguin,Biscoe,No,2007-11-10,172,37.9,3150,FEMALE,3.15,12.03,small flips,small,2007-11-10T15:00:00Z,2007
Adelie Penguin,Biscoe,No,2007-11-10,180,40.5,3950,MALE,3.95,10.25,small flips,medium,2007-11-10T14:40:00Z,2007
Adelie Penguin,Dream,Yes,2007-11-09,178,39.5,3250,FEMALE,3.25,12.15,small flips,small,2007-11-09T11:30:00Z,2007
Adelie Penguin,Dream,Yes,2007-11-09,178,37.2,3900,MALE,3.9,9.54,small flips,medium,2007-11-09T17:00:00Z,2007
Adelie Penguin,Dream,Yes,2007-11-09,188,39.5,3300,FEMALE,3.3,11.97,small flips,small,2007-11-09T15:40:00Z,2007
Adelie Penguin,Dream,Yes,2007-11-09,184,40.9,3900,MALE,3.9,10.49,small flips,medium,2007-11-09T19:30:00Z,2007
Adelie Penguin,Dream,Yes,2007-11-16,195,36.4,3325,FEMALE,3.325,10.95,small flips,small,2007-11-16T15:50:00Z,2007
Adelie Penguin,Dream,Yes,2007-11-16,196,39.2,4150,MALE,4.15,9.45,small flips,medium,2007-11-16T19:40:00Z,2007
Adelie Penguin,Dream,Yes,2007-11-16,190,38.8,3950,MALE,3.95,9.82,small flips,medium,2007-11-16T13:00:00Z,2007
Adelie Penguin,Dream,Yes,2007-11-16,180,42.2,3550,FEMALE,3.55,11.89,small flips,medium,2007-11-16T18:10:00Z,2007
Adelie Penguin,Dream,No,2007-11-13,181,37.6,3300,FEMALE,3.3,11.39,small flips,small,2007-11-13T16:30:00Z,2007
Adelie Penguin,Dream,No,2007-11-13,184,39.8,4650,MALE,4.65,8.56,small flips,large,2007-11-13T20:40:00Z,2007
Adelie Penguin,Dream,Yes,2007-11-16,182,36.5,3150,FEMALE,3.15,11.59,small flips,small,2007-11-16T10:40:00Z,2007
Adelie Penguin,Dream,Yes,2007-11-16,195,40.8,3900,MALE,3.9,10.46,small flips,medium,2007-11-16T16:30:00Z,2007
Adelie Penguin,Dream,Yes,2007-11-19,186,36,3100,FEMALE,3.1,11.61,small flips,small,2007-11-19T12:20:00Z,2007
Adelie Penguin,Dream,Yes,2007-11-19,196,44.1,4400,MALE,4.4,10.02,small flips,large,2007-11-19T16:40:00Z,2007
Adelie Penguin,Dream,Yes,2007-11-16,185,37,3000,FEMALE,3,12.33,small flips,small,2007-11-16T11:40:00Z,2007
Adelie Penguin,Dream,Yes,2007-11-16,190,39.6,4600,MALE,4.6,8.61,small flips,large,2007-11-16T09:30:00Z,2007
Adelie Penguin,Dream,Yes,2007-11-13,182,41.1,3425,MALE,3.425,12,small flips,small,2007-11-13T18:00:00Z,2007
Adelie Penguin,Dream,Yes,2007-11-13,179,37.5,2975,NA,2.975,12.61,small flips,small,2007-11-13T21:00:00Z,2007
Adelie Penguin,Dream,Yes,2007-11-13,190,36,3450,FEMALE,3.45,10.43,small flips,small,2007-11-13T16:40:00Z,2007
Adelie Penguin,Dream,Yes,2007-11-13,191,42.3,4150,MALE,4.15,10.19,small flips,medium,2007-11-13T17:50:00Z,2007
Adelie Penguin,Biscoe,Yes,2008-11-06,186,39.6,3500,FEMALE,3.5,11.31,small flips,small,2008-11-06T18:10:00Z,2008
Adelie Penguin,Biscoe,Yes,2008-11-06,188,40.1,4300,MALE,4.3,9.33,small flips,large,2008-11-06T15:50:00Z,2008
Adelie Penguin,Biscoe,Yes,2008-11-09,190,35,3450,FEMALE,3.45,10.14,small flips,small,2008-11-09T14:50:00Z,2008
Adelie Penguin,Biscoe,Yes,2008-11-09,200,42,4050,MALE,4.05,10.37,small flips,medium,2008-11-09T15:20:00Z,2008
Adelie Penguin,Biscoe,Yes,2008-11-09,187,34.5,2900,FEMALE,2.9,11.9,small flips,small,2008-11-09T15:10:00Z,2008
Adelie Penguin,Biscoe,Yes,2008-11-09,191,41.4,3700,MALE,3.7,11.19,small flips,medium,2008-11-09T12:10:00Z,2008
Adelie Penguin,Biscoe,Yes,2008-11-15,186,39,3550,FEMALE,3.55,10.99,small flips,medium,2008-11-15T12:10:00Z,2008
Adelie Penguin,Biscoe,Yes,2008-11-15,193,40.6,3800,MALE,3.8,10.68,small flips,medium,2008-11-15T11:10:00Z,2008
Adelie Penguin,Biscoe,Yes,2008-11-15,181,36.5,2850,FEMALE,2.85,12.81,small flips,small,2008-11-15T19:30:00Z,2008
Adelie Penguin,Biscoe,Yes,2008-11-15,194,37.6,3750,MALE,3.75,10.03,small flips,medium,2008-11-15T11:00:00Z,2008
Adelie Penguin,Biscoe,Yes,2008-11-13,185,35.7,3150,FEMALE,3.15,11.33,small flips,small,2008-11-13T10:10:00Z,2008
Adelie Penguin,Biscoe,Yes,2008-11-13,195,41.3,4400,MALE,4.4,9.39,small flips,large,2008-11-13T13:30:00Z,2008
Adelie Penguin,Biscoe,Yes,2008-11-13,185,37.6,3600,FEMALE,3.6,10.44,small flips,medium,2008-11-13T15:10:00Z,2008
Adelie Penguin,Biscoe,Yes,2008-11-13,192,41.1,4050,MALE,4.05,10.15,small flips,medium,2008-11-13T20:50:00Z,2008
Adelie Penguin,Biscoe,Yes,2008-11-13,184,36.4,2850,FEMALE,2.85,12.77,small flips,small,2008-11-13T20:40:00Z,2008
Adelie Penguin,Biscoe,Yes,2008-11-13,192,41.6,3950,MALE,3.95,10.53,small flips,medium,2008-11-13T11:50:00Z,2008
Adelie Penguin,Biscoe,Yes,2008-11-06,195,35.5,3350,FEMALE,3.35,10.6,small flips,small,2008-11-06T20:20:00Z,2008
Adelie Penguin,Biscoe,Yes,2008-11-06,188,41.1,4100,MALE,4.1,10.02,small flips,medium,2008-11-06T15:30:00Z,2008
Adelie Penguin,Torgersen,No,2008-11-11,190,35.9,3050,FEMALE,3.05,11.77,small flips,small,2008-11-11T12:20:00Z,2008
Adelie Penguin,Torgersen,No,2008-11-11,198,41.8,4450,MALE,4.45,9.39,small flips,large,2008-11-11T11:50:00Z,2008
Adelie Penguin,Torgersen,Yes,2008-11-14,190,33.5,3600,FEMALE,3.6,9.31,small flips,medium,2008-11-14T18:00:00Z,2008
Adelie Penguin,Torgersen,Yes,2008-11-14,190,39.7,3900,MALE,3.9,10.18,small flips,medium,2008-11-14T12:40:00Z,2008
Adelie Penguin,Torgersen,Yes,2008-11-11,196,39.6,3550,FEMALE,3.55,11.15,small flips,medium,2008-11-11T17:00:00Z,2008
Adelie Penguin,Torgersen,Yes,2008-11-11,197,45.8,4150,MALE,4.15,11.04,small flips,medium,2008-11-11T18:20:00Z,2008
Adelie Penguin,Torgersen,Yes,2008-11-08,190,35.5,3700,FEMALE,3.7,9.59,small flips,medium,2008-11-08T12:20:00Z,2008
Adelie Penguin,Torgersen,Yes,2008-11-08,195,42.8,4250,MALE,4.25,10.07,small flips,medium,2008-11-08T12:30:00Z,2008
Adelie Penguin,Torgersen,Yes,2008-11-06,191,40.9,3700,FEMALE,3.7,11.05,small flips,medium,2008-11-06T15:40:00Z,2008
Adelie Penguin,Torgersen,Yes,2008-11-06,184,37.2,3900,MALE,3.9,9.54,small flips,medium,2008-11-06T13:50:00Z,2008
Adelie Penguin,Torgersen,Yes,2008-11-09,187,36.2,3550,FEMALE,3.55,10.2,small flips,medium,2008-11-09T14:20:00Z,2008
Adelie Penguin,Torgersen,Yes,2008-11-09,195,42.1,4000,MALE,4,10.53,small flips,medium,2008-11-09T12:10:00Z,2008
Adelie Penguin,Torgersen,Yes,2008-11-02,189,34.6,3200,FEMALE,3.2,10.81,small flips,small,2008-11-02T18:20:00Z,2008
Adelie Penguin,Torgersen,Yes,2008-11-02,196,42.9,4700,MALE,4.7,9.13,small flips,large,2008-11-02T17:20:00Z,2008
Adelie Penguin,Torgersen,Yes,2008-11-07,187,36.7,3800,FEMALE,3.8,9.66,small flips,medium,2008-11-07T18:20:00Z,2008
Adelie Penguin,Torgersen,Yes,2008-11-07,193,35.1,4200,MALE,4.2,8.36,small flips,medium,2008-11-07T10:10:00Z,2008
Adelie Penguin,Dream,Yes,2008-11-17,191,37.3,3350,FEMALE,3.35,11.13,small flips,small,2008-11-17T18:30:00Z,2008
Adelie Penguin,Dream,Yes,2008-11-17,194,41.3,3550,MALE,3.55,11.63,small flips,medium,2008-11-17T11:20:00Z,2008
Adelie Penguin,Dream,Yes,2008-11-08,190,36.3,3800,MALE,3.8,9.55,small flips,medium,2008-11-08T14:00:00Z,2008
Adelie Penguin,Dream,Yes,2008-11-08,189,36.9,3500,FEMALE,3.5,10.54,small flips,small,2008-11-08T17:40:00Z,2008
Adelie Penguin,Dream,Yes,2008-11-08,189,38.3,3950,MALE,3.95,9.7,small flips,medium,2008-11-08T12:50:00Z,2008
Adelie Penguin,Dream,Yes,2008-11-08,190,38.9,3600,FEMALE,3.6,10.81,small flips,medium,2008-11-08T11:10:00Z,2008
Adelie Penguin,Dream,Yes,2008-11-14,202,35.7,3550,FEMALE,3.55,10.06,small flips,medium,2008-11-14T17:50:00Z,2008
Adelie Penguin,Dream,Yes,2008-11-14,205,41.1,4300,MALE,4.3,9.56,small flips,large,2008-11-14T16:10:00Z,2008
Adelie Penguin,Dream,Yes,2008-11-05,185,34,3400,FEMALE,3.4,10,small flips,small,2008-11-05T20:10:00Z,2008
Adelie Penguin,Dream,Yes,2008-11-05,186,39.6,4450,MALE,4.45,8.9,small flips,large,2008-11-05T14:00:00Z,2008
Adelie Penguin,Dream,Yes,2008-11-17,187,36.2,3300,FEMALE,3.3,10.97,small flips,small,2008-11-17T20:40:00Z,2008
Adelie Penguin,Dream,Yes,2008-11-17,208,40.8,4300,MALE,4.3,9.49,small flips,large,2008-11-17T13:00:00Z,2008
Adelie Penguin,Dream,Yes,2008-11-08,190,38.1,3700,FEMALE,3.7,10.3,small flips,medium,2008-11-08T14:10:00Z,2008
Adelie Penguin,Dream,Yes,2008-11-08,196,40.3,4350,MALE,4.35,9.26,small flips,large,2008-11-08T09:40:00Z,2008
Adelie Penguin,Dream,Yes,2008-11-10,178,33.1,2900,FEMALE,2.9,11.41,small flips,small,2008-11-10T20:40:00Z,2008
Adelie Penguin,Dream,Yes,2008-11-10,192,43.2,4100,MALE,4.1,10.54,small flips,medium,2008-11-10T14:20:00Z,2008
Adelie Penguin,Biscoe,Yes,2009-11-09,192,35,3725,FEMALE,3.725,9.4,small flips,medium,2009-11-09T09:30:00Z,2009
Adelie Penguin,Biscoe,Yes,2009-11-09,203,41,4725,MALE,4.725,8.68,small flips,large,2009-11-09T09:30:00Z,2009
Adelie Penguin,Biscoe,Yes,2009-11-15,183,37.7,3075,FEMALE,3.075,12.26,small flips,small,2009-11-15T14:10:00Z,2009
Adelie Penguin,Biscoe,Yes,2009-11-15,190,37.8,4250,MALE,4.25,8.89,small flips,medium,2009-11-15T20:50:00Z,2009
Adelie Penguin,Biscoe,Yes,2009-11-15,193,37.9,2925,FEMALE,2.925,12.96,small flips,small,2009-11-15T09:00:00Z,2009
Adelie Penguin,Biscoe,Yes,2009-11-15,184,39.7,3550,MALE,3.55,11.18,small flips,medium,2009-11-15T18:50:00Z,2009
Adelie Penguin,Biscoe,Yes,2009-11-15,199,38.6,3750,FEMALE,3.75,10.29,small flips,medium,2009-11-15T16:00:00Z,2009
Adelie Penguin,Biscoe,Yes,2009-11-15,190,38.2,3900,MALE,3.9,9.79,small flips,medium,2009-11-15T17:30:00Z,2009
Adelie Penguin,Biscoe,Yes,2009-11-20,181,38.1,3175,FEMALE,3.175,12,small flips,small,2009-11-20T17:40:00Z,2009
Adelie Penguin,Biscoe,Yes,2009-11-20,197,43.2,4775,MALE,4.775,9.05,small flips,large,2009-11-20T11:00:00Z,2009
Adelie Penguin,Biscoe,Yes,2009-11-12,198,38.1,3825,FEMALE,3.825,9.96,small flips,medium,2009-11-12T14:10:00Z,2009
Adelie Penguin,Biscoe,Yes,2009-11-12,191,45.6,4600,MALE,4.6,9.91,small flips,large,2009-11-12T17:10:00Z,2009
Adelie Penguin,Biscoe,Yes,2009-11-15,193,39.7,3200,FEMALE,3.2,12.41,small flips,small,2009-11-15T09:20:00Z,2009
Adelie Penguin,Biscoe,Yes,2009-11-15,197,42.2,4275,MALE,4.275,9.87,small flips,medium,2009-11-15T12:20:00Z,2009
Adelie Penguin,Biscoe,Yes,2009-11-17,191,39.6,3900,FEMALE,3.9,10.15,small flips,medium,2009-11-17T10:20:00Z,2009
Adelie Penguin,Biscoe,Yes,2009-11-17,196,42.7,4075,MALE,4.075,10.48,small flips,medium,2009-11-17T12:00:00Z,2009
Adelie Penguin,Torgersen,Yes,2009-11-18,188,38.6,2900,FEMALE,2.9,13.31,small flips,small,2009-11-18T11:10:00Z,2009
Adelie Penguin,Torgersen,Yes,2009-11-18,199,37.3,3775,MALE,3.775,9.88,small flips,medium,2009-11-18T11:50:00Z,2009
Adelie Penguin,Torgersen,Yes,2009-11-22,189,35.7,3350,FEMALE,3.35,10.66,small flips,small,2009-11-22T17:30:00Z,2009
Adelie Penguin,Torgersen,Yes,2009-11-22,189,41.1,3325,MALE,3.325,12.36,small flips,small,2009-11-22T17:20:00Z,2009
Adelie Penguin,Torgersen,No,2009-11-17,187,36.2,3150,FEMALE,3.15,11.49,small flips,small,2009-11-17T15:50:00Z,2009
Adelie Penguin,Torgersen,No,2009-11-17,198,37.7,3500,MALE,3.5,10.77,small flips,small,2009-11-17T09:50:00Z,2009
Adelie Penguin,Torgersen,Yes,2009-11-16,176,40.2,3450,FEMALE,3.45,11.65,small flips,small,2009-11-16T12:50:00Z,2009
Adelie Penguin,Torgersen,Yes,2009-11-16,202,41.4,3875,MALE,3.875,10.68,small flips,medium,2009-11-16T17:50:00Z,2009
Adelie Penguin,Torgersen,Yes,2009-11-18,186,35.2,3050,FEMALE,3.05,11.54,small flips,small,2009-11-18T21:00:00Z,2009
Adelie Penguin,Torgersen,Yes,2009-11-18,199,40.6,4000,MALE,4,10.15,small flips,medium,2009-11-18T19:50:00Z,2009
Adelie Penguin,Torgersen,Yes,2009-11-21,191,38.8,3275,FEMALE,3.275,11.85,small flips,small,2009-11-21T19:30:00Z,2009
Adelie Penguin,Torgersen,Yes,2009-11-21,195,41.5,4300,MALE,4.3,9.65,small flips,large,2009-11-21T17:40:00Z,2009
Adelie Penguin,Torgersen,Yes,2009-11-18,191,39,3050,FEMALE,3.05,12.79,small flips,small,2009-11-18T13:50:00Z,2009
Adelie Penguin,Torgersen,Yes,2009-11-18,210,44.1,4000,MALE,4,11.03,small flips,medium,2009-11-18T10:50:00Z,2009
Adelie Penguin,Torgersen,No,2009-11-23,190,38.5,3325,FEMALE,3.325,11.58,small flips,small,2009-11-23T19:20:00Z,2009
Adelie Penguin,Torgersen,No,2009-11-23,197,43.1,3500,MALE,3.5,12.31,small flips,small,2009-11-23T14:40:00Z,2009
Adelie Penguin,Dream,Yes,2009-11-10,193,36.8,3500,FEMALE,3.5,10.51,small flips,small,2009-11-10T15:40:00Z,2009
Adelie Penguin,Dream,Yes,2009-11-10,199,37.5,4475,MALE,4.475,8.38,small flips,large,2009-11-10T18:00:00Z,2009
Adelie Penguin,Dream,Yes,2009-11-13,187,38.1,3425,FEMALE,3.425,11.12,small flips,small,2009-11-13T17:30:00Z,2009
Adelie Penguin,Dream,Yes,2009-11-13,190,41.1,3900,MALE,3.9,10.54,small flips,medium,2009-11-13T19:10:00Z,2009
Adelie Penguin,Dream,Yes,2009-11-16,191,35.6,3175,FEMALE,3.175,11.21,small flips,small,2009-11-16T11:10:00Z,2009
Adelie Penguin,Dream,Yes,2009-11-16,200,40.2,3975,MALE,3.975,10.11,small flips,medium,2009-11-16T19:50:00Z,2009
Adelie Penguin,Dream,No,2009-11-16,185,37,3400,FEMALE,3.4,10.88,small flips,small,2009-11-16T09:20:00Z,2009
Adelie Penguin,Dream,No,2009-11-16,193,39.7,4250,MALE,4.25,9.34,small flips,medium,2009-11-16T09:50:00Z,2009
Adelie Penguin,Dream,Yes,2009-11-14,193,40.2,3400,FEMALE,3.4,11.82,small flips,small,2009-11-14T17:10:00Z,2009
Adelie Penguin,Dream,Yes,2009-11-14,187,40.6,3475,MALE,3.475,11.68,small flips,small,2009-11-14T11:30:00Z,2009
Adelie Penguin,Dream,Yes,2009-11-16,188,32.1,3050,FEMALE,3.05,10.52,small flips,small,2009-11-16T15:40:00Z,2009
Adelie Penguin,Dream,Yes,2009-11-16,190,40.7,3725,MALE,3.725,10.93,small flips,medium,2009-11-16T12:10:00Z,2009
Adelie Penguin,Dream,Yes,2009-11-16,192,37.3,3000,FEMALE,3,12.43,small flips,small,2009-11-16T14:50:00Z,2009
Adelie Penguin,Dream,Yes,2009-11-16,185,39,3650,MALE,3.65,10.68,small flips,medium,2009-11-16T12:10:00Z,2009
Adelie Penguin,Dream,Yes,2009-11-13,190,39.2,4250,MALE,4.25,9.22,small flips,medium,2009-11-13T12:00:00Z,2009
Adelie Penguin,Dream,Yes,2009-11-13,184,36.6,3475,FEMALE,3.475,10.53,small flips,small,2009-11-13T11:20:00Z,2009
Adelie Penguin,Dream,Yes,2009-11-17,195,36,3450,FEMALE,3.45,10.43,small flips,small,2009-11-17T18:20:00Z,2009
Adelie Penguin,Dream,Yes,2009-11-17,193,37.8,3750,MALE,3.75,10.08,small flips,medium,2009-11-17T20:20:00Z,2009
Adelie Penguin,Dream,Yes,2009-11-17,187,36,3700,FEMALE,3.7,9.73,small flips,medium,2009-11-17T14:30:00Z,2009
Adelie Penguin,Dream,Yes,2009-11-17,201,41.5,4000,MALE,4,10.38,small flips,medium,2009-11-17T19:20:00Z,2009
Gentoo penguin,Biscoe,Yes,2007-11-27,211,46.1,4500,FEMALE,4.5,10.24,big flips,large,2007-11-27T09:40:00Z,2007
Gentoo penguin,Biscoe,Yes,2007-11-27,230,50,5700,MALE,5.7,8.77,big flips,large,2007-11-27T12:00:00Z,2007
Gentoo penguin,Biscoe,Yes,2007-11-27,210,48.7,4450,FEMALE,4.45,10.94,small flips,large,2007-11-27T10:50:00Z,2007
Gentoo penguin,Biscoe,Yes,2007-11-27,218,50,5700,MALE,5.7,8.77,big flips,large,2007-11-27T09:10:00Z,2007
Gentoo penguin,Biscoe,Yes,2007-11-18,215,47.6,5400,MALE,5.4,8.81,big flips,large,2007-11-18T15:20:00Z,2007
Gentoo penguin,Biscoe,Yes,2007-11-18,210,46.5,4550,FEMALE,4.55,10.22,small flips,large,2007-11-18T12:30:00Z,2007
Gentoo penguin,Biscoe,Yes,2007-11-27,211,45.4,4800,FEMALE,4.8,9.46,big flips,large,2007-11-27T20:10:00Z,2007
Gentoo penguin,Biscoe,Yes,2007-11-27,219,46.7,5200,MALE,5.2,8.98,big flips,large,2007-11-27T18:20:00Z,2007
Gentoo penguin,Biscoe,Yes,2007-11-27,209,43.3,4400,FEMALE,4.4,9.84,small flips,large,2007-11-27T18:10:00Z,2007
Gentoo penguin,Biscoe,Yes,2007-11-27,215,46.8,5150,MALE,5.15,9.09,big flips,large,2007-11-27T12:30:00Z,2007
Gentoo penguin,Biscoe,No,2007-11-27,214,40.9,4650,FEMALE,4.65,8.8,big flips,large,2007-11-27T18:00:00Z,2007
Gentoo penguin,Biscoe,No,2007-11-27,216,49,5550,MALE,5.55,8.83,big flips,large,2007-11-27T09:30:00Z,2007
Gentoo penguin,Biscoe,Yes,2007-11-29,214,45.5,4650,FEMALE,4.65,9.78,big flips,large,2007-11-29T16:30:00Z,2007
Gentoo penguin,Biscoe,Yes,2007-11-29,213,48.4,5850,MALE,5.85,8.27,big flips,large,2007-11-29T16:20:00Z,2007
Gentoo penguin,Biscoe,Yes,2007-12-03,210,45.8,4200,FEMALE,4.2,10.9,small flips,medium,2007-12-03T18:20:00Z,2007
Gentoo penguin,Biscoe,Yes,2007-12-03,217,49.3,5850,MALE,5.85,8.43,big flips,large,2007-12-03T15:40:00Z,2007
Gentoo penguin,Biscoe,Yes,2007-11-27,210,42,4150,FEMALE,4.15,10.12,small flips,medium,2007-11-27T19:00:00Z,2007
Gentoo penguin,Biscoe,Yes,2007-11-27,221,49.2,6300,MALE,6.3,7.81,big flips,large,2007-11-27T09:10:00Z,2007
